dataset,fold,granularity,meta_learner,models_in_subset,n_valid,n_test,n_concepts_fit,gated_auc,gated_ece,gated_brier,mean_auc,mean_ece,mean_brier,stacked_auc,stacked_ece,stacked_brier,best_single_model,best_single_selected_on,best_single_on_test_model,best_single_auc,best_single_ece,best_single_brier,lift_gated_vs_mean_auc,lift_gated_vs_best_auc,lift_gated_vs_stack_auc,lift_gated_vs_mean_ece,lift_gated_vs_best_ece,lift_gated_vs_stack_ece
assist2009,0,question,static_concept_weights,"dkt,sakt,akt,simplekt",43171,52254,81,0.783043,0.010994,0.176704,0.776598,0.017173,0.178857,0.780687,0.013298,0.177668,simplekt,valid,simplekt,0.763575,0.078771,0.191806,0.006446,0.019469,0.002356,-0.006179,-0.067777,-0.002303
assist2009,0,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",43171,52254,81,0.782748,0.012245,0.177037,0.776598,0.017173,0.178857,0.780687,0.013298,0.177668,simplekt,valid,simplekt,0.763575,0.078771,0.191806,0.00615,0.019174,0.002061,-0.004928,-0.066526,-0.001052
assist2009,0,question,linear_gating,"dkt,sakt,akt,simplekt",43171,52254,-1,0.778046,0.05247,0.181305,0.776598,0.017173,0.178857,0.780687,0.013298,0.177668,simplekt,valid,simplekt,0.763575,0.078771,0.191806,0.001448,0.014471,-0.002641,0.035296,-0.026302,0.039172
assist2009,1,question,static_concept_weights,"dkt,sakt,akt,simplekt",43942,52254,84,0.783052,0.013756,0.176384,0.776411,0.010109,0.178574,0.779916,0.014077,0.177899,simplekt,valid,simplekt,0.760676,0.126034,0.204737,0.006641,0.022376,0.003136,0.003646,-0.112278,-0.000322
assist2009,1,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",43942,52254,84,0.780275,0.013987,0.177729,0.776411,0.010109,0.178574,0.779916,0.014077,0.177899,simplekt,valid,simplekt,0.760676,0.126034,0.204737,0.003864,0.019599,0.000359,0.003878,-0.112047,-9e-05
assist2009,1,question,linear_gating,"dkt,sakt,akt,simplekt",43942,52254,-1,0.774435,0.051254,0.182838,0.776411,0.010109,0.178574,0.779916,0.014077,0.177899,simplekt,valid,simplekt,0.760676,0.126034,0.204737,-0.001976,0.013759,-0.005481,0.041145,-0.07478,0.037177
assist2009,2,question,static_concept_weights,"dkt,sakt,akt,simplekt",43884,52254,90,0.779565,0.017013,0.177982,0.773765,0.017188,0.179962,0.775593,0.012698,0.179458,simplekt,valid,akt,0.759104,0.025647,0.186988,0.0058,0.020461,0.003973,-0.000175,-0.008634,0.004315
assist2009,2,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",43884,52254,90,0.777162,0.013158,0.178954,0.773765,0.017188,0.179962,0.775593,0.012698,0.179458,simplekt,valid,akt,0.759104,0.025647,0.186988,0.003396,0.018058,0.001569,-0.00403,-0.012489,0.00046
assist2009,2,question,linear_gating,"dkt,sakt,akt,simplekt",43884,52254,-1,0.77184,0.042106,0.182456,0.773765,0.017188,0.179962,0.775593,0.012698,0.179458,simplekt,valid,akt,0.759104,0.025647,0.186988,-0.001925,0.012736,-0.003753,0.024918,0.016459,0.029408
assist2009,3,question,static_concept_weights,"dkt,sakt,akt,simplekt",49836,52254,87,0.782362,0.015456,0.176894,0.777574,0.017262,0.178641,0.781343,0.013,0.177403,simplekt,valid,simplekt,0.767424,0.057253,0.186466,0.004787,0.014938,0.001019,-0.001806,-0.041797,0.002456
assist2009,3,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",49836,52254,87,0.781743,0.01309,0.177282,0.777574,0.017262,0.178641,0.781343,0.013,0.177403,simplekt,valid,simplekt,0.767424,0.057253,0.186466,0.004168,0.014319,0.0004,-0.004172,-0.044163,9e-05
assist2009,3,question,linear_gating,"dkt,sakt,akt,simplekt",49836,52254,-1,0.777654,0.048275,0.181148,0.777574,0.017262,0.178641,0.781343,0.013,0.177403,simplekt,valid,simplekt,0.767424,0.057253,0.186466,8e-05,0.01023,-0.003689,0.031014,-0.008978,0.035276
assist2009,4,question,static_concept_weights,"dkt,sakt,akt,simplekt",44892,52254,83,0.786151,0.011105,0.175572,0.776597,0.029325,0.179302,0.782027,0.010668,0.177038,simplekt,valid,simplekt,0.766135,0.111292,0.197373,0.009553,0.020016,0.004124,-0.018221,-0.100188,0.000436
assist2009,4,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",44892,52254,83,0.783594,0.012054,0.176662,0.776597,0.029325,0.179302,0.782027,0.010668,0.177038,simplekt,valid,simplekt,0.766135,0.111292,0.197373,0.006997,0.017459,0.001567,-0.017271,-0.099238,0.001386
assist2009,4,question,linear_gating,"dkt,sakt,akt,simplekt",44892,52254,-1,0.779015,0.066687,0.183463,0.776597,0.029325,0.179302,0.782027,0.010668,0.177038,simplekt,valid,simplekt,0.766135,0.111292,0.197373,0.002418,0.01288,-0.003012,0.037362,-0.044605,0.056018
assist2017,0,question,static_concept_weights,"dkt,sakt,akt,simplekt",153067,177767,90,0.770687,0.004779,0.183694,0.76334,0.038875,0.188194,0.769958,0.004197,0.18388,akt,valid,akt,0.758263,0.015686,0.188321,0.007348,0.012424,0.000729,-0.034096,-0.010907,0.000583
assist2017,0,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",153067,177767,90,0.770839,0.005117,0.183605,0.76334,0.038875,0.188194,0.769958,0.004197,0.18388,akt,valid,akt,0.758263,0.015686,0.188321,0.007499,0.012575,0.000881,-0.033758,-0.010569,0.00092
assist2017,0,question,linear_gating,"dkt,sakt,akt,simplekt",153067,177767,-1,0.76452,0.032617,0.187637,0.76334,0.038875,0.188194,0.769958,0.004197,0.18388,akt,valid,akt,0.758263,0.015686,0.188321,0.001181,0.006257,-0.005438,-0.006257,0.016931,0.028421
assist2017,1,question,static_concept_weights,"dkt,sakt,akt,simplekt",141938,177767,88,0.771435,0.005054,0.183412,0.763435,0.037705,0.188127,0.770683,0.004285,0.183613,akt,valid,akt,0.758171,0.01577,0.188319,0.008001,0.013264,0.000753,-0.032651,-0.010716,0.000768
assist2017,1,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",141938,177767,88,0.771339,0.004133,0.18341,0.763435,0.037705,0.188127,0.770683,0.004285,0.183613,akt,valid,akt,0.758171,0.01577,0.188319,0.007904,0.013168,0.000656,-0.033572,-0.011637,-0.000153
assist2017,1,question,linear_gating,"dkt,sakt,akt,simplekt",141938,177767,-1,0.764966,0.034089,0.187806,0.763435,0.037705,0.188127,0.770683,0.004285,0.183613,akt,valid,akt,0.758171,0.01577,0.188319,0.001531,0.006795,-0.005717,-0.003616,0.018319,0.029804
assist2017,2,question,static_concept_weights,"dkt,sakt,akt,simplekt",145879,177767,89,0.769395,0.005821,0.184158,0.76173,0.043886,0.189212,0.768838,0.006615,0.184331,akt,valid,akt,0.757625,0.017892,0.18869,0.007666,0.01177,0.000557,-0.038064,-0.01207,-0.000793
assist2017,2,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",145879,177767,89,0.769299,0.007187,0.184177,0.76173,0.043886,0.189212,0.768838,0.006615,0.184331,akt,valid,akt,0.757625,0.017892,0.18869,0.00757,0.011674,0.000461,-0.036699,-0.010705,0.000572
assist2017,2,question,linear_gating,"dkt,sakt,akt,simplekt",145879,177767,-1,0.764089,0.039423,0.188577,0.76173,0.043886,0.189212,0.768838,0.006615,0.184331,akt,valid,akt,0.757625,0.017892,0.18869,0.00236,0.006464,-0.004749,-0.004462,0.021532,0.032809
assist2017,3,question,static_concept_weights,"dkt,sakt,akt,simplekt",168980,177767,91,0.769895,0.004348,0.183863,0.763362,0.045767,0.188935,0.769464,0.004106,0.184,akt,valid,akt,0.758611,0.017125,0.188194,0.006533,0.011284,0.000431,-0.041418,-0.012777,0.000242
assist2017,3,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",168980,177767,91,0.770005,0.003387,0.183811,0.763362,0.045767,0.188935,0.769464,0.004106,0.184,akt,valid,akt,0.758611,0.017125,0.188194,0.006643,0.011394,0.000541,-0.04238,-0.013738,-0.00072
assist2017,3,question,linear_gating,"dkt,sakt,akt,simplekt",168980,177767,-1,0.763321,0.040386,0.189004,0.763362,0.045767,0.188935,0.769464,0.004106,0.184,akt,valid,akt,0.758611,0.017125,0.188194,-4.1e-05,0.00471,-0.006143,-0.00538,0.023261,0.03628
assist2017,4,question,static_concept_weights,"dkt,sakt,akt,simplekt",149617,177767,90,0.772146,0.006403,0.183178,0.765056,0.043458,0.18816,0.772106,0.007574,0.183199,simplekt,valid,akt,0.757588,0.030158,0.188884,0.00709,0.014558,4e-05,-0.037055,-0.023756,-0.001171
assist2017,4,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",149617,177767,90,0.772488,0.006354,0.183073,0.765056,0.043458,0.18816,0.772106,0.007574,0.183199,simplekt,valid,akt,0.757588,0.030158,0.188884,0.007432,0.0149,0.000382,-0.037103,-0.023804,-0.001219
assist2017,4,question,linear_gating,"dkt,sakt,akt,simplekt",149617,177767,-1,0.766051,0.036905,0.187656,0.765056,0.043458,0.18816,0.772106,0.007574,0.183199,simplekt,valid,akt,0.757588,0.030158,0.188884,0.000995,0.008463,-0.006055,-0.006553,0.006747,0.029331
algebra2005,0,question,static_concept_weights,"dkt,sakt,akt,simplekt",112859,92945,93,0.839452,0.008327,0.127922,0.827474,0.015629,0.133411,0.831646,0.009994,0.131033,simplekt,valid,simplekt,0.813394,0.053947,0.142022,0.011978,0.026058,0.007806,-0.007301,-0.04562,-0.001666
algebra2005,0,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",112859,92945,93,0.832274,0.010123,0.130624,0.827474,0.015629,0.133411,0.831646,0.009994,0.131033,simplekt,valid,simplekt,0.813394,0.053947,0.142022,0.0048,0.01888,0.000628,-0.005506,-0.043825,0.000129
algebra2005,0,question,linear_gating,"dkt,sakt,akt,simplekt",112859,92945,-1,0.821981,0.035066,0.13609,0.827474,0.015629,0.133411,0.831646,0.009994,0.131033,simplekt,valid,simplekt,0.813394,0.053947,0.142022,-0.005493,0.008587,-0.009665,0.019437,-0.018882,0.025072
algebra2005,1,question,static_concept_weights,"dkt,sakt,akt,simplekt",111871,92945,93,0.836504,0.009083,0.129179,0.82352,0.019776,0.135234,0.827877,0.013655,0.132957,simplekt,valid,simplekt,0.814078,0.048824,0.141077,0.012984,0.022426,0.008627,-0.010693,-0.039741,-0.004572
algebra2005,1,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",111871,92945,93,0.828434,0.010568,0.132192,0.82352,0.019776,0.135234,0.827877,0.013655,0.132957,simplekt,valid,simplekt,0.814078,0.048824,0.141077,0.004913,0.014355,0.000557,-0.009208,-0.038256,-0.003087
algebra2005,1,question,linear_gating,"dkt,sakt,akt,simplekt",111871,92945,-1,0.818253,0.040697,0.138364,0.82352,0.019776,0.135234,0.827877,0.013655,0.132957,simplekt,valid,simplekt,0.814078,0.048824,0.141077,-0.005267,0.004175,-0.009624,0.020921,-0.008127,0.027042
algebra2005,2,question,static_concept_weights,"dkt,sakt,akt,simplekt",100740,92945,92,0.838781,0.006005,0.127906,0.825598,0.02127,0.134294,0.831876,0.010298,0.131002,simplekt,valid,simplekt,0.815247,0.06492,0.1417,0.013183,0.023535,0.006905,-0.015266,-0.058915,-0.004294
algebra2005,2,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",100740,92945,92,0.832697,0.010522,0.130462,0.825598,0.02127,0.134294,0.831876,0.010298,0.131002,simplekt,valid,simplekt,0.815247,0.06492,0.1417,0.007099,0.01745,0.000821,-0.010749,-0.054398,0.000223
algebra2005,2,question,linear_gating,"dkt,sakt,akt,simplekt",100740,92945,-1,0.825795,0.046901,0.13659,0.825598,0.02127,0.134294,0.831876,0.010298,0.131002,simplekt,valid,simplekt,0.815247,0.06492,0.1417,0.000197,0.010548,-0.006081,0.025631,-0.018019,0.036602
algebra2005,3,question,static_concept_weights,"dkt,sakt,akt,simplekt",94885,92945,92,0.839617,0.004824,0.127535,0.826563,0.020265,0.134031,0.832396,0.011969,0.130976,simplekt,valid,simplekt,0.816694,0.066559,0.141712,0.013054,0.022923,0.00722,-0.01544,-0.061735,-0.007145
algebra2005,3,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",94885,92945,92,0.83359,0.011395,0.130185,0.826563,0.020265,0.134031,0.832396,0.011969,0.130976,simplekt,valid,simplekt,0.816694,0.066559,0.141712,0.007027,0.016897,0.001194,-0.008869,-0.055164,-0.000574
algebra2005,3,question,linear_gating,"dkt,sakt,akt,simplekt",94885,92945,-1,0.826902,0.045055,0.136211,0.826563,0.020265,0.134031,0.832396,0.011969,0.130976,simplekt,valid,simplekt,0.816694,0.066559,0.141712,0.00034,0.010209,-0.005494,0.024791,-0.021504,0.033086
algebra2005,4,question,static_concept_weights,"dkt,sakt,akt,simplekt",89450,92945,87,0.837544,0.00504,0.128704,0.826365,0.018225,0.134303,0.830624,0.014112,0.131937,akt,valid,akt,0.813399,0.027323,0.139301,0.011179,0.024145,0.00692,-0.013186,-0.022284,-0.009073
algebra2005,4,question,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",89450,92945,87,0.831552,0.013507,0.131306,0.826365,0.018225,0.134303,0.830624,0.014112,0.131937,akt,valid,akt,0.813399,0.027323,0.139301,0.005187,0.018153,0.000927,-0.004719,-0.013817,-0.000606
algebra2005,4,question,linear_gating,"dkt,sakt,akt,simplekt",89450,92945,-1,0.819774,0.039104,0.137511,0.826365,0.018225,0.134303,0.830624,0.014112,0.131937,akt,valid,akt,0.813399,0.027323,0.139301,-0.006591,0.006376,-0.01085,0.020878,0.01178,0.024991
